Institution;Period;CHF;DOI;Is hybrid
University of Bern;2025-01-22;CHF 1’227.21;10.1038/s44168-025-00208-7;false
University of Bern;2025-02-28;CHF 1’283.68;10.3290/j.jad.c_1951;false
University of Bern;2025-01-31;CHF 2’510.89;10.1038/s41598-025-86341-z;false
University of Bern;2025-01-31;CHF 2’806.27;10.1093/braincomms/fcaf003;false
University of Bern;2025-02-07;CHF 2’716.28;10.1186/s12883-025-04030-w;false
University of Bern;2025-01-31;CHF 745.89;10.5304/jafscd.2025.141.015;false
University of Bern;2025-02-12;CHF 2’459.54;10.1098/rsob.240304;false
University of Bern;2025-02-19;CHF 681.03;10.3390/vetsci12020183;false
University of Bern;2025-03-07;CHF 2’510.89;10.1038/s41598-025-90250-6;false
University of Bern;2025-02-26;CHF 955.06;10.1128/mra.00995-24;false
University of Bern;2025-03-21;CHF 1’841.59;10.1177/17455057251325029;false
University of Bern;2025-02-28;CHF 2’716.28;10.1186/s12909-025-06867-8;false
University of Bern;2025-02-28;CHF 1’910.12;10.2196/69743;false
University of Bern;2025-03-05;CHF 2’613.59;10.1186/s13005-025-00491-z;false
University of Bern;2025-03-07;CHF 2’135.26;10.2196/62838;false
University of Bern;2025-03-21;CHF 2’484.46;10.1186/S41077-025-00335-5;false
University of Bern;2025-03-19;CHF 944.79;10.1128/mra.00045-25;false
University of Bern;2025-03-19;CHF 1’017.15;10.5194/amt-18-555-2025;false
University of Bern;2025-04-09;CHF 1’816.08;10.3390/vetsci12030287;false
University of Bern;2025-04-02;CHF 2’687.69;10.1186/S12884-024-07062-1;false
University of Bern;2025-05-09;CHF 2’248.48;10.3390/diagnostics15070907;false
University of Bern;2025-04-09;CHF 2’075.52;10.3390/aerospace12040283;false
University of Bern;2025-05-16;CHF 2’477.15;10.1177/15330338251333994;false
University of Bern;2025-04-11;CHF 759.72;10.3205/zma001756;false
University of Bern;2025-04-11;CHF 2’227.94;10.1371/journal.pone.0320530;false
University of Bern;2025-05-09;CHF 2’537.32;10.1038/s41420-025-02391-2;false
University of Bern;2025-04-11;CHF 875.61;10.3390/cells14080558;false
University of Bern;2025-04-11;CHF 2’248.48;10.3390/s25072252;false
University of Bern;2025-04-16;CHF 1’678.05;10.5194/hess-29-1807-2025;false
University of Bern;2025-04-30;CHF 2’537.32;10.1038/s41598-025-96400-0;false
University of Bern;2025-04-22;CHF 1’459.35;10.2196/72605;false
University of Bern;2025-04-22;CHF 1’977.90;10.2196/63627;false
University of Bern;2025-05-07;CHF 2’227.94;10.1371/journal.pone.0315241;false
University of Bern;2025-05-07;CHF 451.42;10.5334/joad.153;false
University of Bern;2025-05-07;CHF 1’395.79;10.1186/s00015-025-00481-y;false
University of Bern;2025-05-14;CHF 1’859.32;10.3390/ani15081076;false
University of Bern;2025-05-07;CHF 728.50;10.1016/j.jaccas.2025.104034;false
University of Bern;2025-05-07;CHF 2’537.32;10.1038/s41598-025-98414-0;false
University of Bern;2025-05-07;CHF 2’537.32;10.1038/s41598-025-95269-3;false
University of Bern;2025-05-07;CHF 2’537.32;10.1038/S41598-025-98102-Z;false
University of Bern;2025-05-07;CHF 2’537.32;10.1038/s41598-025-99367-0;false
University of Bern;2025-07-09;CHF 635.08;10.3290/j.ohpd.c_2235;false
University of Bern;2025-05-23;CHF 1’792.03;10.1038/s44271-025-00258-x;false
University of Bern;2025-05-23;CHF 2’079.41;10.1371/journal.pone.0324831;false
University of Bern;2025-06-04;CHF 2’759.41;10.1038/S41746-025-01657-4;false
University of Bern;2025-05-23;CHF 740.43;10.1093/ehjcr/ytaf231;false
University of Bern;2025-06-04;CHF 2’510.89;10.1038/s41598-025-02025-8;false
University of Bern;2025-06-13;CHF 2’510.89;10.1038/s41598-025-03060-1;false
University of Bern;2025-06-04;CHF 2’510.89;10.1038/S41598-025-00438-Z;false
University of Bern;2025-07-15;CHF 2’301.66;10.2196/62781;false
University of Bern;2025-06-13;CHF 2’724.12;10.2196/68857;false
University of Bern;2025-06-13;CHF 862.63;10.1128/mra.00284-25;false
University of Bern;2025-07-18;CHF 2’202.81;10.1186/s41824-025-00256-6;false
University of Bern;2025-06-25;CHF 2’248.48;10.3390/life15060958;false
University of Bern;2025-06-18;CHF 2’075.52;10.3390/ani15121730;false
University of Bern;2025-06-25;CHF 610.76;10.5334/johd.322;false
University of Bern;2025-06-25;CHF 1’569.94;10.1057/s41599-025-05000-w;false
University of Bern;2025-07-11;CHF 2’248.48;10.3390/jintelligence13070077;false
University of Bern;2025-07-04;CHF 2’484.46;10.1038/S41598-025-06019-4;false
University of Bern;2025-07-04;CHF 2’248.48;10.3390/jcm14124277;false
University of Bern;2025-07-04;CHF 1’811.53;10.1242/bio.061860;false
University of Bern;2025-07-30;CHF 1’135.05;10.1024/2674-0052/a000112;false
University of Bern;2025-07-18;CHF 1’291.33;10.1051/swsc/2025030;false
University of Bern;2025-07-25;CHF 2’510.89;10.1038/s41598-025-10193-w;false
University of Bern;2025-08-04;CHF 2’716.28;10.1186/s12887-025-05887-z;false
University of Bern;2025-07-16;CHF 2’510.89;10.1038/s41598-025-09104-w;false
University of Bern;2025-07-25;CHF 739.40;10.1016/j.jaccas.2025.104914;false
University of Bern;2025-07-25;CHF 2’075.52;10.3390/ani15131854;false
University of Bern;2025-08-04;CHF 2’342.25;10.2196/59905;false
University of Bern;2025-07-25;CHF 2’510.89;10.1038/s41598-025-10953-8;false
University of Bern;2025-08-04;CHF 2’692.77;10.7150/thno.113614;false
University of Bern;2025-07-25;CHF 2’085.70;10.1371/journal.pone.0328833;false
University of Bern;2025-08-27;CHF 1’561.18;10.1097/HC9.0000000000000811;false
University of Bern;2025-08-22;CHF 1’618.39;10.3847/PSJ/ade3d1;false
University of Bern;2025-08-22;CHF 2’419.19;10.1093/braincomms/fcaf268;false
University of Bern;2025-10-08;CHF 2’726.55;10.1186/s12877-025-06189-w;false
University of Bern;2025-09-17;CHF 869.40;10.1177/25152459251360642;false
University of Bern;2025-08-22;CHF 1’381.25;10.1186/S00015-025-00486-7;false
University of Bern;2025-08-27;CHF 2’484.46;10.1038/s41598-025-13954-9;false
University of Bern;2025-08-22;CHF 2’075.52;10.3390/ani15162378;false
University of Bern;2025-08-27;CHF 2’484.46;10.1038/S41598-025-12093-5;false
University of Bern;2025-09-24;CHF 1’502.48;10.3390/ani15162378;false
University of Bern;2025-11-28;CHF 1’214.29;10.1038/s44168-025-00280-z;false
University of Bern;2025-09-10;CHF 2’137.20;10.1371/journal.pone.0328626;false
University of Bern;2025-09-12;CHF 731.62;10.1016/j.jaccas.2025.105292;false
University of Bern;2025-09-17;CHF 2’716.28;10.1186/s13690-025-01700-6;false
University of Bern;2025-10-22;CHF 2’484.46;10.1038/s41420-025-02709-0;false
University of Bern;2025-09-17;CHF 641.84;10.3290/j.ohpd.c_2314;false
University of Bern;2025-09-12;CHF 635.08;10.3290/j.ohpd.c_2365;false
University of Bern;2025-10-01;CHF 2’075.52;10.3390/ani15172634;false
University of Bern;2025-10-08;CHF 2’100.11;10.1186/S40337-025-01381-0 J;false
University of Bern;2025-10-15;CHF 2’687.69;10.1186/s13690-025-01709-x;false
University of Bern;2025-10-15;CHF 2’818.98;10.1186/S12870-025-07312-0;false
University of Bern;2025-10-01;CHF 2’029.90;10.1371/journal.pone.0308779;false
University of Bern;2025-10-01;CHF 842.09;10.1128/mra.00945-25;false
University of Bern;2025-10-01;CHF 1’427.47;10.1038/S41746-025-01998-0;false
University of Bern;2025-10-08;CHF 2’734.77;10.1186/s12966-025-01834-4;false
University of Bern;2025-10-08;CHF 1’982.02;10.1186/s12711-025-01002-z;false
University of Bern;2025-10-08;CHF 2’510.89;10.1186/S13063-025-09099-9;false
University of Bern;2025-10-15;CHF 2’085.70;10.1371/journal.pone.0332961;false
University of Bern;2025-10-10;CHF 2’510.89;10.1038/S41598-025-22139-3;false
University of Bern;2025-10-17;CHF 2’687.69;10.1186/S12887-025-06242-Y;false
University of Bern;2025-11-28;CHF 2’484.46;10.1038/S41598-025-20920-Y;false
University of Bern;2025-10-22;CHF 778.32;10.3390/atmos16101191 ;false
University of Bern;2025-10-24;CHF 1’780.11;10.2196/77573;false
University of Bern;2025-10-31;CHF 2’042.45;10.1093/oncolo/oyaf343;false
University of Bern;2025-11-05;CHF 2’484.46;10.1038/S41598-025-22720-W;false
University of Bern;2025-10-31;CHF 2’484.46;10.1038/S41598-025-24593-5;false
University of Bern;2025-10-31;CHF 440.68;10.5334/joad.177;false
University of Bern;2025-11-12;CHF 1’468.32;10.1186/S40352-025-00380-2;false
University of Bern;2025-11-12;CHF 1’816.08;10.3390/vetsci12111051;false
University of Bern;2025-11-12;CHF 2’484.46;10.1186/S13063-025-09251-5;false
University of Bern;2025-11-12;CHF 1’729.60;10.3390/dj13110510 ;false
University of Bern;2025-11-19;CHF 2’484.46;10.1038/S41598-025-25199-7;false
University of Bern;2025-11-19;CHF 1’240.98;10.1162/IMAG.a.1033;false
University of Bern;2025-12-31;CHF 2’443.72;10.1177/20552076251403204;false
University of Bern;2025-11-28;CHF 2’484.46;10.1038/S41598-025-27777-1;false
University of Bern;2025-12-10;CHF 2’774.49;10.1136/bmjopen-2025-109555;false
University of Bern;2025-12-05;CHF 2’789.30;10.1186/S12903-025-07184-8;false
University of Bern;2025-12-12;CHF 2’608.29;10.2196/78079;false
University of Bern;2025-12-05;CHF 1’290.06;10.1039/d5ra05936d;false
University of Bern;2025-12-12;CHF 2’111.45;10.1371/journal.pone.0333920;false
University of Bern;2025-12-24;CHF 648.05;10.5334/jcaa.191;false
University of Bern;2025-12-17;CHF 2’111.45;10.1371/journal.pone.0338575;false
University of Bern;2025-12-12;CHF 1’643.12;10.3390/atmos16121384;false
University of Bern;2025-12-24;CHF 1’339.88;10.1093/polsoc/puaf042;false
University of Bern;2025-12-19;CHF 2’484.46;10.1038/S41598-025-31629-3;false
University of Bern;2026-01-14;CHF 1’418.27;10.1097/EA9.0000000000000096;false
University of Bern;2025-12-31;CHF 2’393.33;10.1071/WF25107;false
University of Bern;2026-01-09;CHF 2’484.46;10.1038/S41598-025-34218-6;false
University of Bern;2025-01-23;CHF 2’246.32;10.3389/fvets.2025.1517173;false
University of Bern;2025-02-06;CHF 2’246.32;10.3389/fpsyt.2025.1553508;false
University of Bern;2025-02-10;CHF 2’246.32;10.3389/fvets.2025.1528345;false
University of Bern;2025-02-17;CHF 2’246.32;10.3389/froh.2025.1472711;false
University of Bern;2025-04-17;CHF 2’246.32;10.3389/fbioe.2025.1569553;false
University of Bern;2025-05-05;CHF 2’246.32;10.3389/fvets.2025.1553310;false
University of Bern;2025-04-11;CHF 2’246.32;10.3389/fpubh.2025.1574732;false
University of Bern;2025-05-22;CHF 2’246.32;10.3389/fpsyg.2025.1545719;false
University of Bern;2025-06-04;CHF 2’246.32;10.3389/fvets.2025.1623761;false
University of Bern;2025-06-05;CHF 2’246.32;10.3389/fimmu.2025.1608338;false
University of Bern;2025-06-12;CHF 2’246.32;10.3389/fvets.2025.1585940;false
University of Bern;2025-06-17;CHF 2’246.32;10.3389/fpsyg.2025.1587405;false
University of Bern;2025-06-30;CHF 2’246.32;10.3389/fspor.2025.1636161;false
University of Bern;2025-07-09;CHF 2’246.32;10.3389/fsoc.2025.1585464;false
University of Bern;2025-07-21;CHF 2’246.32;10.3389/fevo.2025.1646136;false
University of Bern;2025-07-21;CHF 2’246.32;10.3389/fvets.2025.1567807;false
University of Bern;2025-07-30;CHF 2’246.32;10.3389/fdgth.2025.1640900;false
University of Bern;2025-08-22;CHF 2’246.32;10.3389/fbioe.2025.1629362;false
University of Bern;2025-08-18;CHF 2’246.32;10.3389/fvets.2025.1571539;false
University of Bern;2025-08-27;CHF 2’246.32;10.3389/fneur.2025.1530775;false
University of Bern;2025-09-03;CHF 2’246.32;10.3389/fnut.2025.1655811;false
University of Bern;2025-09-25;CHF 2’246.32;10.3389/fspor.2025.1653834;false
University of Bern;2025-09-24;CHF 2’246.32;10.3389/fvets.2025.1629994;false
University of Bern;2025-10-02;CHF 2’246.32;10.3389/fonc.2025.1680992;false
University of Bern;2025-11-05;CHF 2’246.32;10.3389/fclim.2025.1666586;false
University of Bern;2025-11-11;CHF 2’246.32;10.3389/froh.2025.1716625;false
University of Bern;2025-11-12;CHF 2’246.32;10.3389/fped.2025.1644547;false
University of Bern;2025-11-20;CHF 2’246.32;10.3389/fmed.2025.1677721;false
University of Bern;2025-11-25;CHF 2’246.32;10.3389/fspor.2025.1708869;false
University of Bern;2025-12-12;CHF 2’246.32;10.3389/fmed.2025.1716369;false
University of Bern;2025-03-05;CHF 2’246.32;10.3389/fcvm.2025.1547161;false
University of Bern;2025-05-08;CHF 2’246.32;10.3389/fspas.2025.1585247;false
University of Bern;2025-10-09;CHF 2’246.32;10.3389/fvets.2025.1646781;false
University of Bern;2025-03-10;CHF 2’246.32;10.3389/fped.2025.1568891;false
University of Bern;2025-10-21;CHF 2’246.32;10.3389/fimmu.2025.1639553;false
University of Bern;2025-03-18;CHF 2’246.32;10.3389/falgy.2025.1568669;false
University of Bern;2025-10-23;CHF 1’572.42;10.3389/fped.2025.1704163;false
University of Bern;2025-11-06;CHF 2’246.32;10.3389/fsoc.2025.1660806;false
University of Bern;2025-06-02;CHF 2’246.32;10.3389/fdgth.2025.1435917;false
University of Bern;2025-10-28;CHF 2’246.32;10.3389/fsurg.2025.1702151;false
University of Bern;2025-10-27;CHF 2’246.32;10.3389/fvets.2025.1603592;false
University of Bern;2025-05-30;CHF 2’246.32;10.3389/fsoc.2025.1570326;false
University of Bern;2025-05-30;CHF 2’246.32;10.3389/fvets.2025.1562404;false
University of Bern;2025-08-20;CHF 2’343.61;10.3389/ijph.2025.1608274;false
